,president,birthday,year,party,nominal_gdp(million_of_dollars),real_gdp(millions_of_2017_dollars),gdp_deflator_(index_2017=100),population,nominal_gdp_per_capita_(current_dollars),real_gdp_per_capita_(year_2017_dollars)
0,George Washington,1732-02-22,1789.0,none,138.66,6894.01,2.01,6698461.39,20.7,1029.19
1,George Washington,1732-02-22,1790.0,none,193,"4,975",3.88,"3,929,000",49.1,"1,266.23"
2,George Washington,1732-02-22,1791.0,none,210,"5,274",3.98,"4,048,000",51.89,"1,302.85"
3,George Washington,1732-02-22,1792.0,none,230,"5,663",4.05,"4,171,000",55.03,"1,357.63"
4,George Washington,1732-02-22,1793.0,none,256,"6,113",4.19,"4,297,000",59.67,"1,422.52"
5,George Washington,1732-02-22,1794.0,none,321,"6,905",4.65,"4,428,000",72.56,"1,559.46"
6,George Washington,1732-02-22,1795.0,none,390,"7,331",5.32,"4,562,000",85.53,"1,607.03"
7,George Washington,1732-02-22,1796.0,none,423,"7,553",5.6,"4,700,000",90.06,"1,606.92"
8,John Adams,1735-10-30,1797.0,Federalist,415,"7,692",5.39,"4,843,000",85.65,"1,588.26"
9,John Adams,1735-10-30,1798.0,Federalist,418,"8,009",5.22,"4,990,000",83.73,"1,605.09"
10,John Adams,1735-10-30,1799.0,Federalist,447,"8,561",5.22,"5,141,000",86.87,"1,665.24"
11,John Adams,1735-10-30,1800.0,Federalist,486,"9,049",5.37,"5,297,000",91.66,"1,708.28"
12,Thomas Jefferson,1743-04-13,1801.0,Democratic-Republican,520,"9,490",5.48,"5,486,000",94.79,"1,729.81"
13,Thomas Jefferson,1743-04-13,1802.0,Democratic-Republican,456,"9,788",4.66,"5,679,000",80.27,"1,723.57"
14,Thomas Jefferson,1743-04-13,1803.0,Democratic-Republican,493,"9,954",4.95,"5,872,000",83.88,"1,695.18"
15,Thomas Jefferson,1743-04-13,1804.0,Democratic-Republican,538,"10,341",5.21,"6,065,000",88.78,"1,704.97"
16,Thomas Jefferson,1743-04-13,1805.0,Democratic-Republican,567,"10,889",5.21,"6,258,000",90.66,"1,739.94"
17,Thomas Jefferson,1743-04-13,1806.0,Democratic-Republican,624,"11,403",5.47,"6,451,000",96.76,"1,767.69"
18,Thomas Jefferson,1743-04-13,1807.0,Democratic-Republican,595,"11,414",5.22,"6,644,000",89.6,"1,717.93"
19,Thomas Jefferson,1743-04-13,1808.0,Democratic-Republican,653,"11,439",5.71,"6,838,000",95.5,"1,672.92"
20,James Madison,1751-03-16,1809.0,Democratic-Republican,694,"12,315",5.64,"7,031,000",98.74,"1,751.46"
21,James Madison,1751-03-16,1810.0,Democratic-Republican,714,"12,997",5.49,"7,224,000",98.82,"1,799.12"
22,James Madison,1751-03-16,1811.0,Democratic-Republican,776,"13,588",5.71,"7,460,000",104,"1,821.41"
23,James Madison,1751-03-16,1812.0,Democratic-Republican,795,"14,130",5.63,"7,700,000",103.23,"1,835.03"
24,James Madison,1751-03-16,1813.0,Democratic-Republican,980,"14,934",6.56,"7,939,000",123.46,"1,881.08"
25,James Madison,1751-03-16,1814.0,Democratic-Republican,"1,090","15,559",7.01,"8,179,000",133.28,"1,902.28"
26,James Madison,1751-03-16,1815.0,Democratic-Republican,935,"15,684",5.96,"8,419,000",111.08,"1,862.91"
27,James Madison,1751-03-16,1816.0,Democratic-Republican,828,"15,683",5.28,"8,659,000",95.66,"1,811.17"
28,James Monroe,1758-04-28,1817.0,Democratic-Republican,777,"16,047",4.84,"8,899,000",87.35,"1,803.26"
29,James Monroe,1758-04-28,1818.0,Democratic-Republican,745,"16,630",4.48,"9,139,000",81.57,"1,819.67"
30,James Monroe,1758-04-28,1819.0,Democratic-Republican,735,"16,952",4.33,"9,379,000",78.32,"1,807.43"
31,James Monroe,1758-04-28,1820.0,Democratic-Republican,718,"17,629",4.07,"9,618,000",74.62,"1,832.97"
32,James Monroe,1758-04-28,1821.0,Democratic-Republican,742,"18,548",4.0,"9,939,000",74.67,"1,866.23"
33,James Monroe,1758-04-28,1822.0,Democratic-Republican,816,"19,306",4.23,"10,268,000",79.45,"1,880.21"
34,James Monroe,1758-04-28,1823.0,Democratic-Republican,767,"19,939",3.85,"10,596,000",72.35,"1,881.76"
35,James Monroe,1758-04-28,1824.0,Democratic-Republican,762,"21,136",3.6,"10,924,000",69.72,"1,934.78"
36,John Quincy Adams,1767-11-07,1825.0,Democratic-Republican,832,"22,123",3.76,"11,252,000",73.96,"1,966.10"
37,John Quincy Adams,1767-11-07,1826.0,Democratic-Republican,876,"22,891",3.83,"11,580,000",75.65,"1,976.76"
38,John Quincy Adams,1767-11-07,1827.0,Democratic-Republican,925,"23,576",3.93,"11,909,000",77.71,"1,979.68"
39,John Quincy Adams,1767-11-07,1828.0,Democratic-Republican,907,"23,918",3.79,"12,237,000",74.11,"1,954.56"
40,Andrew Jackson,1767-03-15,1829.0,Democrat,940,"24,824",3.79,"12,565,000",74.8,"1,975.61"
41,Andrew Jackson,1767-03-15,1830.0,Democrat,"1,032","27,090",3.81,"12,901,000",80.02,"2,099.82"
42,Andrew Jackson,1767-03-15,1831.0,Democrat,"1,065","29,362",3.63,"13,321,000",79.91,"2,204.20"
43,Andrew Jackson,1767-03-15,1832.0,Democrat,"1,142","31,345",3.64,"13,742,000",83.14,"2,280.95"
44,Andrew Jackson,1767-03-15,1833.0,Democrat,"1,172","32,315",3.63,"14,162,000",82.77,"2,281.83"
45,Andrew Jackson,1767-03-15,1834.0,Democrat,"1,233","32,851",3.75,"14,582,000",84.56,"2,252.87"
46,Andrew Jackson,1767-03-15,1835.0,Democrat,"1,358","34,645",3.92,"15,003,000",90.49,"2,309.22"
47,Andrew Jackson,1767-03-15,1836.0,Democrat,"1,497","35,641",4.2,"15,423,000",97.05,"2,310.92"
48,Martin Van Buren,1782-05-12,1837.0,Democrat,"1,574","36,001",4.37,"15,843,000",99.36,"2,272.33"
49,Martin Van Buren,1782-05-12,1838.0,Democrat,"1,618","37,486",4.32,"16,264,000",99.51,"2,304.85"
50,Martin Van Buren,1782-05-12,1839.0,Democrat,"1,685","38,509",4.38,"16,684,000",101.01,"2,308.11"
51,Martin Van Buren,1782-05-12,1840.0,Democrat,"1,590","38,454",4.13,"17,123,000",92.85,"2,245.73"
52,William Henry Harrison,1773-09-02,1841.0,Whig,"1,678","39,530",4.25,"17,733,000",94.64,"2,229.20"
53,John Tyler,1790-03-29,1841.0,Whig,"1,678","39,530",4.25,"17,733,000",94.64,"2,229.20"
54,John Tyler,1790-03-29,1842.0,Whig,"1,646","40,865",4.03,"18,345,000",89.75,"2,227.59"
55,John Tyler,1790-03-29,1843.0,Whig,"1,595","42,887",3.72,"18,957,000",84.15,"2,262.32"
56,John Tyler,1790-03-29,1844.0,Whig,"1,741","45,551",3.82,"19,569,000",88.97,"2,327.71"
57,James K. Polk,1795-02-11,1845.0,Democrat,"1,899","48,371",3.93,"20,182,000",94.11,"2,396.72"
58,James K. Polk,1795-02-11,1846.0,Democrat,"2,113","52,407",4.03,"20,794,000",101.62,"2,520.28"
59,James K. Polk,1795-02-11,1847.0,Democrat,"2,476","56,204",4.41,"21,406,000",115.69,"2,625.63"
60,James K. Polk,1795-02-11,1848.0,Democrat,"2,496","58,148",4.29,"22,018,000",113.37,"2,640.94"
61,Zachary Taylor,1784-11-24,1849.0,Whig,"2,488","58,960",4.22,"22,631,000",109.93,"2,605.30"
62,Millard Fillmore,1800-07-01,1850.0,Whig,"2,656","61,711",4.3,"23,261,000",114.16,"2,652.96"
63,Millard Fillmore,1800-07-01,1851.0,Whig,"2,799","66,593",4.2,"24,086,000",116.23,"2,764.80"
64,Millard Fillmore,1800-07-01,1852.0,Whig,"3,143","74,109",4.24,"24,911,000",126.19,"2,974.97"
65,Franklin Pierce,1804-11-23,1853.0,Democrat,"3,383","79,914",4.23,"25,736,000",131.46,"3,105.13"
66,Franklin Pierce,1804-11-23,1854.0,Democrat,"3,789","82,574",4.59,"26,561,000",142.67,"3,108.83"
67,Franklin Pierce,1804-11-23,1855.0,Democrat,"4,048","85,819",4.72,"27,386,000",147.8,"3,133.67"
68,Franklin Pierce,1804-11-23,1856.0,Democrat,"4,103","88,862",4.62,"28,212,000",145.43,"3,149.80"
69,James Buchanan,1791-04-23,1857.0,Democrat,"4,241","89,386",4.74,"29,037,000",146.04,"3,078.35"
70,James Buchanan,1791-04-23,1858.0,Democrat,"4,151","92,975",4.46,"29,862,000",139,"3,113.48"
71,James Buchanan,1791-04-23,1859.0,Democrat,"4,475","99,417",4.5,"30,687,000",145.82,"3,239.71"
72,James Buchanan,1791-04-23,1860.0,Democrat,"4,410","99,831",4.42,"31,513,000",139.93,"3,167.93"
73,Abraham Lincoln,1809-12-02,1861.0,Republican,"4,673","101,732",4.59,"32,215,000",145.06,"3,157.92"
74,Abraham Lincoln,1809-12-02,1862.0,Republican,"5,881","114,382",5.14,"32,871,794",178.92,"3,479.65"
75,Abraham Lincoln,1809-12-02,1863.0,Republican,"7,746","123,141",6.29,"33,327,437",232.41,"3,694.88"
76,Abraham Lincoln,1809-12-02,1864.0,Republican,"9,600","124,434",7.71,"33,768,002",284.28,"3,684.97"
77,Andrew Johnson,1808-12-29,1865.0,National Union,"10,012","127,773",7.84,"34,151,973",293.17,"3,741.32"
78,Andrew Johnson,1808-12-29,1866.0,National Union,"9,098","121,695",7.48,"34,788,937",261.52,"3,498.09"
79,Andrew Johnson,1808-12-29,1867.0,National Union,"8,465","124,164",6.82,"35,595,758",237.82,"3,488.17"
80,Andrew Johnson,1808-12-29,1868.0,National Union,"8,261","128,948",6.41,"36,499,322",226.33,"3,532.89"
81,Ulysses S. Grant,1822-04-27,1869.0,Republican,"8,009","133,343",6.01,"37,478,604",213.71,"3,557.84"
82,Ulysses S. Grant,1822-04-27,1870.0,Republican,"7,899","137,323",5.75,"38,558,000",204.86,"3,561.48"
83,Ulysses S. Grant,1822-04-27,1871.0,Republican,"7,751","143,856",5.39,"39,593,785",195.75,"3,633.30"
84,Ulysses S. Grant,1822-04-27,1872.0,Republican,"8,402","155,894",5.39,"40,657,395",206.65,"3,834.33"
85,Ulysses S. Grant,1822-04-27,1873.0,Republican,"8,936","169,192",5.28,"41,749,577",214.03,"4,052.55"
86,Ulysses S. Grant,1822-04-27,1874.0,Republican,"8,659","172,270",5.03,"42,871,098",201.98,"4,018.32"
87,Ulysses S. Grant,1822-04-27,1875.0,Republican,"8,331","171,963",4.84,"44,022,746",189.24,"3,906.23"
88,Ulysses S. Grant,1822-04-27,1876.0,Republican,"8,482","179,081",4.74,"45,205,332",187.62,"3,961.51"
89,Rutherford B. Hayes,1822-04-10,1877.0,Republican,"8,700","187,992",4.63,"46,419,685",187.41,"4,049.83"
90,Rutherford B. Hayes,1822-04-10,1878.0,Republican,"8,555","194,033",4.41,"47,666,659",179.47,"4,070.62"
91,Rutherford B. Hayes,1822-04-10,1879.0,Republican,"9,555","216,648",4.41,"48,947,131",195.21,"4,426.17"
92,Rutherford B. Hayes,1822-04-10,1880.0,Republican,"10,592","234,878",4.51,"50,262,000",210.73,"4,673.07"
93,James A. Garfield,1831-11-19,1881.0,Republican,"11,902","264,594",4.5,"51,542,000",230.92,"5,133.55"
94,Chester A. Arthur,1829-05-10,1881.0,Republican,"11,902","264,594",4.5,"51,542,000",230.92,"5,133.55"
95,Chester A. Arthur,1829-05-10,1882.0,Republican,"12,519","278,992",4.49,"52,821,000",237.01,"5,281.83"
96,Chester A. Arthur,1829-05-10,1883.0,Republican,"12,640","287,066",4.4,"54,100,000",233.65,"5,306.22"
97,Chester A. Arthur,1829-05-10,1884.0,Republican,"12,107","282,652",4.28,"55,379,000",218.62,"5,103.96"
98,Grover Cleveland,1837-03-18,1885.0,Democrat,"11,925","283,911",4.2,"56,658,000",210.48,"5,010.95"
99,Grover Cleveland,1837-03-18,1886.0,Democrat,"12,549","307,460",4.08,"57,938,000",216.59,"5,306.71"
100,Grover Cleveland,1837-03-18,1887.0,Democrat,"13,565","330,278",4.11,"59,217,000",229.08,"5,577.41"
101,Grover Cleveland,1837-03-18,1888.0,Democrat,"14,332","349,811",4.1,"60,496,000",236.9,"5,782.38"
102,Grover Cleveland,1837-03-18,1893.0,Democrat,"15,934","395,447",4.03,"66,970,000",237.92,"5,904.84"
103,Grover Cleveland,1837-03-18,1894.0,Democrat,"14,606","376,410",3.88,"68,275,000",213.93,"5,513.15"
104,Grover Cleveland,1837-03-18,1895.0,Democrat,"16,114","419,444",3.84,"69,580,000",231.59,"6,028.23"
105,Grover Cleveland,1837-03-18,1896.0,Democrat,"15,990","412,244",3.88,"70,885,000",225.57,"5,815.68"
106,Benjamin Harrison,1833-08-20,1889.0,Republican,"14,338","360,323",3.98,"61,775,000",232.1,"5,832.83"
107,Benjamin Harrison,1833-08-20,1890.0,Republican,"15,607","395,405",3.95,"63,056,000",247.52,"6,270.70"
108,Benjamin Harrison,1833-08-20,1891.0,Republican,"15,944","399,900",3.99,"64,361,000",247.73,"6,213.39"
109,Benjamin Harrison,1833-08-20,1892.0,Republican,"16,920","420,181",4.03,"65,666,000",257.66,"6,398.76"
110,Grover Cleveland,1837-03-18,1885.0,Democrat,"11,925","283,911",4.2,"56,658,000",210.48,"5,010.95"
111,Grover Cleveland,1837-03-18,1886.0,Democrat,"12,549","307,460",4.08,"57,938,000",216.59,"5,306.71"
112,Grover Cleveland,1837-03-18,1887.0,Democrat,"13,565","330,278",4.11,"59,217,000",229.08,"5,577.41"
113,Grover Cleveland,1837-03-18,1888.0,Democrat,"14,332","349,811",4.1,"60,496,000",236.9,"5,782.38"
114,Grover Cleveland,1837-03-18,1893.0,Democrat,"15,934","395,447",4.03,"66,970,000",237.92,"5,904.84"
115,Grover Cleveland,1837-03-18,1894.0,Democrat,"14,606","376,410",3.88,"68,275,000",213.93,"5,513.15"
116,Grover Cleveland,1837-03-18,1895.0,Democrat,"16,114","419,444",3.84,"69,580,000",231.59,"6,028.23"
117,Grover Cleveland,1837-03-18,1896.0,Democrat,"15,990","412,244",3.88,"70,885,000",225.57,"5,815.68"
118,William McKinley,1843-01-29,1897.0,Republican,"16,666","429,886",3.88,"72,189,000",230.86,"5,955.01"
119,William McKinley,1843-01-29,1898.0,Republican,"18,663","476,920",3.91,"73,494,000",253.94,"6,489.23"
120,William McKinley,1843-01-29,1899.0,Republican,"20,119","509,382",3.95,"74,799,000",268.98,"6,810.01"
121,William McKinley,1843-01-29,1900.0,Republican,"21,197","521,778",4.06,"76,094,000",278.56,"6,857.02"
122,Theodore Roosevelt,1858-10-27,1901.0,Republican,"22,931","549,046",4.18,"77,584,000",295.56,"7,076.79"
123,Theodore Roosevelt,1858-10-27,1902.0,Republican,"24,754","576,747",4.29,"79,163,000",312.69,"7,285.57"
124,Theodore Roosevelt,1858-10-27,1903.0,Republican,"26,647","592,997",4.49,"80,632,000",330.48,"7,354.36"
125,Theodore Roosevelt,1858-10-27,1904.0,Republican,"26,360","571,371",4.61,"82,166,000",320.82,"6,953.86"
126,Theodore Roosevelt,1858-10-27,1905.0,Republican,"29,523","635,290",4.65,"83,822,000",352.21,"7,579.04"
127,Theodore Roosevelt,1858-10-27,1906.0,Republican,"31,794","660,583",4.81,"85,450,000",372.08,"7,730.64"
128,Theodore Roosevelt,1858-10-27,1907.0,Republican,"34,639","676,850",5.12,"87,008,000",398.11,"7,779.17"
129,Theodore Roosevelt,1858-10-27,1908.0,Republican,"30,797","602,975",5.11,"88,710,000",347.16,"6,797.15"
130,William Howard Taft,1857-09-15,1909.0,Republican,"32,540","646,065",5.04,"90,490,000",359.6,"7,139.62"
131,William Howard Taft,1857-09-15,1910.0,Republican,"33,746","653,021",5.17,"92,407,000",365.19,"7,066.79"
132,William Howard Taft,1857-09-15,1911.0,Republican,"34,675","674,178",5.14,"93,863,000",369.42,"7,182.58"
133,William Howard Taft,1857-09-15,1912.0,Republican,"37,745","705,765",5.35,"95,335,000",395.92,"7,403.00"
134,Woodrow Wilson,1856-12-28,1913.0,Democrat,"39,517","733,625",5.39,"97,225,000",406.45,"7,545.64"
135,Woodrow Wilson,1856-12-28,1914.0,Democrat,"36,831","677,455",5.44,"99,111,000",371.61,"6,835.31"
136,Woodrow Wilson,1856-12-28,1915.0,Democrat,"39,048","695,924",5.61,"100,546,000",388.36,"6,921.45"
137,Woodrow Wilson,1856-12-28,1916.0,Democrat,"50,117","792,425",6.32,"101,961,000",491.53,"7,771.84"
138,Woodrow Wilson,1856-12-28,1917.0,Democrat,"60,278","772,825",7.8,"103,414,000",582.88,"7,473.12"
139,Woodrow Wilson,1856-12-28,1918.0,Democrat,"76,567","842,527",9.09,"104,550,000",732.35,"8,058.60"
140,Woodrow Wilson,1856-12-28,1919.0,Democrat,"79,090","849,287",9.31,"105,063,000",752.78,"8,083.60"
141,Woodrow Wilson,1856-12-28,1920.0,Democrat,"89,246","841,350",10.61,"106,461,000",838.3,"7,902.90"
142,Warren G. Harding,1865-02-11,1921.0,Republican,"74,314","822,062",9.04,"108,538,000",684.68,"7,573.95"
143,Warren G. Harding,1865-02-11,1922.0,Republican,"74,140","867,711",8.54,"110,049,000",673.7,"7,884.76"
144,Calvin Coolidge,1872-04-07,1923.0,Republican,"86,238","981,966",8.78,"111,947,000",770.35,"8,771.70"
145,Calvin Coolidge,1872-04-07,1924.0,Republican,"87,786","1,012,202",8.67,"114,109,000",769.32,"8,870.48"
146,Calvin Coolidge,1872-04-07,1925.0,Republican,"91,449","1,035,978",8.83,"115,829,000",789.52,"8,944.03"
147,Calvin Coolidge,1872-04-07,1926.0,Republican,"97,885","1,103,673",8.87,"117,397,000",833.79,"9,401.20"
148,Calvin Coolidge,1872-04-07,1927.0,Republican,"96,466","1,114,332",8.66,"119,035,000",810.4,"9,361.38"
149,Calvin Coolidge,1872-04-07,1928.0,Republican,"98,305","1,127,103",8.72,"120,509,000",815.74,"9,352.85"
150,Herbert Hoover,1874-10-08,1929.0,Republican,"104,556","1,191,100",8.75,"121,878,000",857.87,"9,772.89"
151,Herbert Hoover,1874-10-08,1930.0,Republican,"92,160","1,089,800",8.42,"123,188,000",748.12,"8,846.64"
152,Herbert Hoover,1874-10-08,1931.0,Republican,"77,391","1,020,000",7.58,"124,149,000",623.37,"8,215.93"
153,Herbert Hoover,1874-10-08,1932.0,Republican,"59,522","888,400",6.72,"124,949,000",476.37,"7,110.10"
154,Franklin D. Roosevelt,1882-01-30,0.0,none,0,0,0.0,0,0,0
155,Harry S. Truman,1884-08-05,1945.0,Democrat,"228,007","2,500,100",9.11,"139,928,000","1,629.46","17,867.05"
156,Harry S. Truman,1884-08-05,1946.0,Democrat,"227,535","2,209,900",10.26,"141,389,000","1,609.28","15,629.93"
157,Harry S. Truman,1884-08-05,1947.0,Democrat,"249,616","2,184,600",11.41,"144,126,000","1,731.93","15,157.57"
158,Harry S. Truman,1884-08-05,1948.0,Democrat,"274,468","2,274,600",12.06,"146,631,000","1,871.83","15,512.41"
159,Harry S. Truman,1884-08-05,1949.0,Democrat,"272,475","2,261,900",12.05,"149,188,000","1,826.39","15,161.41"
160,Harry S. Truman,1884-08-05,1950.0,Democrat,"299,827","2,458,500",12.17,"151,684,000","1,976.66","16,208.04"
161,Harry S. Truman,1884-08-05,1951.0,Democrat,"346,914","2,656,300",12.99,"154,287,000","2,248.50","17,216.62"
162,Harry S. Truman,1884-08-05,1952.0,Democrat,"367,341","2,764,800",13.27,"156,954,000","2,340.44","17,615.35"
163,Dwight D. Eisenhower,1890-10-14,1953.0,Republican,"389,218","2,894,400",13.44,"159,565,000","2,439.24","18,139.32"
164,Dwight D. Eisenhower,1890-10-14,1954.0,Republican,"390,549","2,877,700",13.58,"162,391,000","2,404.99","17,720.81"
165,Dwight D. Eisenhower,1890-10-14,1955.0,Republican,"425,478","3,083,000",13.77,"165,275,000","2,574.36","18,653.76"
166,Dwight D. Eisenhower,1890-10-14,1956.0,Republican,"449,353","3,148,800",14.24,"168,221,000","2,671.21","18,718.23"
167,Dwight D. Eisenhower,1890-10-14,1957.0,Republican,"474,039","3,215,100",14.74,"171,274,000","2,767.72","18,771.68"
168,Dwight D. Eisenhower,1890-10-14,1958.0,Republican,"481,229","3,191,200",15.09,"174,141,000","2,763.44","18,325.38"
169,Dwight D. Eisenhower,1890-10-14,1959.0,Republican,"521,654","3,412,400",15.29,"177,130,000","2,945.03","19,264.95"
170,Dwight D. Eisenhower,1890-10-14,1960.0,Republican,"542,382","3,500,300",15.49,"180,760,000","3,000.56","19,364.35"
171,John F. Kennedy,1917-05-29,1961.0,Democrat,"562,209","3,590,100",15.66,"183,742,000","3,059.77","19,538.81"
172,John F. Kennedy,1917-05-29,1962.0,Democrat,"603,922","3,810,100",15.85,"186,590,000","3,236.63","20,419.64"
173,Lyndon B. Johnson,1908-08-27,1963.0,Democrat,"637,450","3,976,100",16.03,"189,300,000","3,367.41","21,004.23"
174,Lyndon B. Johnson,1908-08-27,1964.0,Democrat,"684,460","4,205,300",16.28,"191,927,000","3,566.25","21,910.93"
175,Lyndon B. Johnson,1908-08-27,1965.0,Democrat,"742,289","4,478,600",16.57,"194,347,000","3,819.40","23,044.35"
176,Lyndon B. Johnson,1908-08-27,1966.0,Democrat,"813,414","4,773,900",17.04,"196,599,000","4,137.43","24,282.42"
177,Lyndon B. Johnson,1908-08-27,1967.0,Democrat,"859,959","4,904,900",17.53,"198,752,000","4,326.79","24,678.49"
178,Lyndon B. Johnson,1908-08-27,1968.0,Democrat,"940,651","5,145,900",18.28,"200,745,000","4,685.80","25,634.01"
179,Richard Nixon,1913-09-01,0.0,none,0,0,0.0,0,0,0
180,Gerald Ford,1913-07-14,1974.0,Republican,"1,545,243","6,073,400",25.43,"213,898,000","7,224.20","28,393.91"
181,Gerald Ford,1913-07-14,1975.0,Republican,"1,684,904","6,060,900",27.8,"215,981,000","7,801.17","28,062.19"
182,Gerald Ford,1913-07-14,1976.0,Republican,"1,873,412","6,387,400",29.33,"218,086,000","8,590.24","29,288.45"
183,Jimmy Carter,1924-01-10,1977.0,Democrat,"2,081,826","6,682,800",31.15,"220,289,000","9,450.43","30,336.51"
184,Jimmy Carter,1924-01-10,1978.0,Democrat,"2,351,599","7,052,700",33.34,"222,629,000","10,562.86","31,679.16"
185,Jimmy Carter,1924-01-10,1979.0,Democrat,"2,627,333","7,276,000",36.1,"225,106,000","11,671.54","32,322.55"
186,Jimmy Carter,1924-01-10,1980.0,Democrat,"2,857,307","7,257,300",39.38,"227,726,000","12,547.13","31,868.56"
187,Ronald Reagan,1911-06-02,1981.0,Republican,"3,207,041","7,441,500",43.09,"230,008,000","13,943.17","32,353.22"
188,Ronald Reagan,1911-06-02,1982.0,Republican,"3,343,789","7,307,300",45.76,"232,218,000","14,399.35","31,467.41"
189,Ronald Reagan,1911-06-02,1983.0,Republican,"3,634,038","7,642,300",47.55,"234,333,000","15,508.01","32,612.99"
190,Ronald Reagan,1911-06-02,1984.0,Republican,"4,037,613","8,195,300",49.26,"236,394,000","17,080.01","34,667.97"
191,Ronald Reagan,1911-06-02,1985.0,Republican,"4,338,979","8,537,000",50.82,"238,506,000","18,192.33","35,793.65"
192,Ronald Reagan,1911-06-02,1986.0,Republican,"4,579,631","8,832,600",51.85,"240,683,000","19,027.65","36,698.06"
193,Ronald Reagan,1911-06-02,1987.0,Republican,"4,855,215","9,137,700",53.13,"242,843,000","19,993.23","37,628.01"
194,Ronald Reagan,1911-06-02,1988.0,Republican,"5,236,438","9,519,400",55.0,"245,061,000","21,367.90","38,845.02"
195,George H. W. Bush,1924-12-06,0.0,none,0,0,0.0,0,0,0
196,Bill Clinton,1946-08-19,1993.0,Democrat,"6,858,559","10,684,200",64.19,"260,282,000","26,350.49","41,048.56"
197,Bill Clinton,1946-08-19,1994.0,Democrat,"7,287,236","11,114,600",65.56,"263,455,000","27,660.27","42,187.85"
198,Bill Clinton,1946-08-19,1995.0,Democrat,"7,639,749","11,413,000",66.93,"266,588,000","28,657.51","42,811.38"
199,Bill Clinton,1946-08-19,1996.0,Democrat,"8,073,122","11,843,600",68.16,"269,714,000","29,932.16","43,911.70"
200,Bill Clinton,1946-08-19,1997.0,Democrat,"8,577,552","12,370,300",69.34,"272,958,000","31,424.44","45,319.43"
201,Bill Clinton,1946-08-19,1998.0,Democrat,"9,062,817","12,924,900",70.1,"276,154,000","32,817.98","46,803.23"
202,Bill Clinton,1946-08-19,1999.0,Democrat,"9,631,172","13,543,800",71.08,"279,328,000","34,479.79","48,487.08"
203,Bill Clinton,1946-08-19,2000.0,Democrat,"10,250,952","14,096,000",72.71,"282,398,000","36,299.66","49,915.37"
204,George W. Bush,1946-06-07,2001.0,Republican,"10,581,929","14,230,700",74.39,"285,225,000","37,100.29","49,892.89"
205,George W. Bush,1946-06-07,2002.0,Republican,"10,929,108","14,472,700",75.5,"287,955,000","37,954.22","50,260.28"
206,George W. Bush,1946-06-07,2003.0,Republican,"11,456,450","14,877,300",77.01,"290,626,000","39,419.91","51,190.53"
207,George W. Bush,1946-06-07,2004.0,Republican,"12,217,196","15,449,800",79.07,"293,262,000","41,659.66","52,682.58"
208,George W. Bush,1946-06-07,2005.0,Republican,"13,039,197","15,988,000",81.54,"295,993,000","44,052.38","54,014.79"
209,George W. Bush,1946-06-07,2006.0,Republican,"13,815,583","16,433,100",84.07,"298,818,000","46,234.11","54,993.68"
210,George W. Bush,1946-06-07,2007.0,Republican,"14,474,228","16,762,400",86.35,"301,696,000","47,976.20","55,560.56"
211,George W. Bush,1946-06-07,2008.0,Republican,"14,769,862","16,781,500",87.98,"304,543,000","48,498.45","55,103.88"
212,Barack Obama,1961-04-08,2009.0,Democrat,"14,478,067","16,349,100",88.56,"307,240,000","47,122.99","53,212.80"
213,Barack Obama,1961-04-08,2010.0,Democrat,"15,048,971","16,789,800",89.62,"309,839,000","48,570.29","54,188.79"
214,Barack Obama,1961-04-08,2011.0,Democrat,"15,599,732","17,052,400",91.47,"312,295,000","49,951.91","54,603.50"
215,Barack Obama,1961-04-08,2012.0,Democrat,"16,253,970","17,442,800",93.18,"314,725,000","51,644.99","55,422.35"
216,Barack Obama,1961-04-08,2013.0,Democrat,"16,880,683","17,812,200",94.79,"317,099,000","53,234.74","56,172.36"
217,Barack Obama,1961-04-08,2014.0,Democrat,"17,608,138","18,261,700",96.44,"319,601,000","55,094.13","57,139.06"
218,Barack Obama,1961-04-08,2015.0,Democrat,"18,295,019","18,799,600",97.28,"322,113,000","56,796.90","58,363.37"
219,Barack Obama,1961-04-08,2016.0,Democrat,"18,804,913","19,141,700",98.21,"324,609,000","57,930.97","58,968.48"
220,Donald Trump,1946-06-14,2017.0,Republican,"19,612,102","19,612,100",100.0,"326,860,000","60,001.54","60,001.53"
221,Donald Trump,1946-06-14,2018.0,Republican,"20,656,516","20,193,900",102.29,"328,794,000","62,825.10","61,418.09"
222,Donald Trump,1946-06-14,2019.0,Republican,"21,521,395","20,692,100",104.01,"330,513,000","65,115.12","62,606.01"
223,Donald Trump,1946-06-14,2020.0,Republican,"21,322,950","20,234,100",105.41,"331,800,000","64,266.79","60,985.03"
224,Joe Biden,1942-11-20,2021.0,Democrat,"23,594,031","21,407,700",110.22,"332,367,000","70,991.30","64,412.92"
225,Joe Biden,1942-11-20,2022.0,Democrat,"25,744,108","21,822,000",118.0,"333,568,000","77,171.74","65,414.65"
226,Joe Biden,1942-11-20,2023.0,Democrat,"27,360,900","22,376,900",122.27,"335,208,000","81,623.65","66,755.27"
